1,"Memorijska lokacija simboličnog imena u koju se sprema vrijednost nekog podatka"
2,"Naziv korištene datoteke"
3,"Predstavlja tip podatka"
4,"Predstavlja vrijednost i tip podatka"
5,"Brojeve, slova, tačku"
6,"Brojeve, velika slova"
7,"Samo velika i mala slova"
8,"Samo brojeve i slova"
9,"Da, razlikuje"
10,"Ne razlikuje"
11,"Razlikuje samo u nazivima varijabli"
13,"Integer, bool, real"
14,"String, integer"
15,"Bool, float"
16,"Bool, varchar"
17,"ovo je neki tekst a ovo je neki broj 7"
18,"float(input("Unesite realan broj"))"
19,"float(input())"
20,"Izmjenjivi, poluizmjenjivi i neizmjenjivi"
21,"Izmjenjivi i neizmjenjivi"
22,"Liste, nizovi"
23,"from turtle include shape"
24,"from turtle import *"
25,"from turtle include *"
26,"from turtle import shape"
27,"Dohvatiti adresu memorijske lokacije gdje je trenutno spremljen podatak u memoriji"
28,"Dohvatiti adresu memorijske lokacije gdje je spremljen prvi element liste"
29,"[[0, 1], [1, 2]]"
30,"[[0,1],[1,2]]"
31,"[[0,1], [1,2]]"
32,"[[0,1], [1,2]]"
33,"Bubble sort"
34,"Insertion sort"
35,"Selection sort"
36,"Merge sort"
37,"Efikasno je"
38,"Nije jednostavno za implementirati"
39,"Stabilno je"
40,"Koristi se za velike nizove"
41,"Da"
42,"Ne"
43,"(1,2,3,4,5,6)"
44,"(0,1,2,3,4,5,6)"
45,"(0,1,2,3,4,5)"
46,"Enkapsulacija, apstrakcija i polimorfizam"
47,"Nasljeđivanje,polimorfizam i enkapsulacija"
48,"Enkapsulacija,apstrakcija, polimorfizam i nasljeđivanje"
